Longitude,Latitude,Pixel,Scan
226.041283,-89.1991276,6700,300
226.103443,-89.199092,6800,300
226.165607,-89.1990554,6900,300
226.227775,-89.1990179,7000,300
226.289946,-89.1989795,7100,300
226.352121,-89.19894,7200,300
226.4143,-89.1988997,7300,300
226.476481,-89.1988583,7400,300
226.538666,-89.1988161,7500,300
226.600853,-89.1987728,7600,300
226.663043,-89.1987287,7700,300
226.725236,-89.1986835,7800,300
226.787431,-89.1986374,7900,300
226.849629,-89.1985904,8000,300
226.911829,-89.1985424,8100,300
226.974031,-89.1984934,8200,300
227.036234,-89.1984435,8300,300
227.09844,-89.1983927,8400,300
227.160647,-89.1983408,8500,300
227.222855,-89.1982881,8600,300
227.285065,-89.1982343,8700,300
227.347276,-89.1981797,8800,300
227.409488,-89.198124,8900,300
227.4717,-89.1980674,9000,300
227.533914,-89.1980099,9100,300
227.596128,-89.1979513,9200,300
227.658342,-89.1978919,9300,300
227.720557,-89.1978315,9400,300
227.782772,-89.1977701,9500,300
227.844987,-89.1977077,9600,300
227.907201,-89.1976444,9700,300
227.969416,-89.1975802,9800,300
228.03163,-89.1975149,9900,300
228.093843,-89.1974488,10000,300
228.156055,-89.1973816,10100,300
228.218267,-89.1973135,10200,300
228.280478,-89.1972445,10300,300
228.342687,-89.1971745,10400,300
228.404895,-89.1971035,10500,300
228.467102,-89.1970316,10600,300
228.529307,-89.1969587,10700,300
228.59151,-89.1968848,10800,300
228.653711,-89.19681,10900,300
228.71591,-89.1967342,11000,300
228.778107,-89.1966575,11100,300
228.840302,-89.1965798,11200,300
228.902494,-89.1965011,11300,300
228.964683,-89.1964215,11400,300
229.02687,-89.1963409,11500,300
229.089053,-89.1962594,11600,300
229.151234,-89.1961769,11700,300
229.213411,-89.1960934,11800,300
229.275585,-89.196009,11900,300
229.337134,-89.1959244,11999,300
221.887715,-89.2001975,0,400
221.949348,-89.2002248,100,400
222.010994,-89.2002512,200,400
222.072654,-89.2002767,300,400
222.134328,-89.2003012,400,400
222.196014,-89.2003248,500,400
222.257713,-89.2003475,600,400
222.319425,-89.2003692,700,400
222.38115,-89.20039,800,400
222.442887,-89.2004099,900,400
222.504637,-89.2004289,1000,400
222.566399,-89.2004469,1100,400
222.628173,-89.200464,1200,400
222.689959,-89.2004802,1300,400
222.751757,-89.2004955,1400,400
222.813566,-89.2005098,1500,400
222.875387,-89.2005232,1600,400
222.937219,-89.2005356,1700,400
222.999063,-89.2005472,1800,400
223.060918,-89.2005578,1900,400
223.122784,-89.2005674,2000,400
223.18466,-89.2005761,2100,400
223.246548,-89.2005839,2200,400
223.308446,-89.2005908,2300,400
223.370354,-89.2005967,2400,400
223.432273,-89.2006017,2500,400
223.494201,-89.2006058,2600,400
223.55614,-89.2006089,2700,400
223.618089,-89.2006111,2800,400
223.680047,-89.2006123,2900,400
223.742015,-89.2006126,3000,400
223.803992,-89.200612,3100,400
223.865979,-89.2006104,3200,400
223.927975,-89.2006079,3300,400
223.989979,-89.2006045,3400,400
224.051993,-89.2006001,3500,400
224.114015,-89.2005948,3600,400
224.176046,-89.2005885,3700,400
224.238085,-89.2005813,3800,400
224.300133,-89.2005731,3900,400
224.362188,-89.200564,4000,400
224.424252,-89.200554,4100,400
224.486324,-89.200543,4200,400
224.548403,-89.2005311,4300,400
224.61049,-89.2005183,4400,400
224.672584,-89.2005045,4500,400
224.734685,-89.2004897,4600,400
224.796794,-89.200474,4700,400
224.85891,-89.2004574,4800,400
224.921032,-89.2004398,4900,400
224.983161,-89.2004213,5000,400
225.045297,-89.2004018,5100,400
225.107439,-89.2003814,5200,400
225.169587,-89.20036,5300,400
225.231742,-89.2003377,5400,400
225.293902,-89.2003145,5500,400
225.356068,-89.2002903,5600,400
225.41824,-89.2002651,5700,400
225.480417,-89.200239,5800,400
225.5426,-89.200212,5900,400
225.604788,-89.200184,6000,400
225.666981,-89.200155,6100,400
225.72918,-89.2001251,6200,400
225.791382,-89.2000943,6300,400
225.85359,-89.2000625,6400,400
225.915802,-89.2000297,6500,400
225.978019,-89.199996,6600,400
226.040239,-89.1999614,6700,400
226.102464,-89.1999258,6800,400
226.164693,-89.1998892,6900,400
226.226925,-89.1998517,7000,400
226.289161,-89.1998133,7100,400
226.351401,-89.1997739,7200,400
226.413644,-89.1997335,7300,400
226.47589,-89.1996922,7400,400
226.538139,-89.1996499,7500,400
226.600391,-89.1996067,7600,400
226.662646,-89.1995625,7700,400
226.724903,-89.1995174,7800,400
226.787163,-89.1994713,7900,400
226.849425,-89.1994243,8000,400
226.91169,-89.1993763,8100,400
226.973956,-89.1993273,8200,400
227.036224,-89.1992774,8300,400
227.098494,-89.1992266,8400,400
227.160766,-89.1991747,8500,400
227.223039,-89.199122,8600,400
227.285313,-89.1990682,8700,400
227.347589,-89.1990135,8800,400
227.409865,-89.1989579,8900,400
227.472142,-89.1989013,9000,400
227.53442,-89.1988437,9100,400
227.596699,-89.1987852,9200,400
227.658978,-89.1987257,9300,400
227.721257,-89.1986653,9400,400
227.783536,-89.1986039,9500,400
227.845816,-89.1985415,9600,400
227.908095,-89.1984782,9700,400
227.970374,-89.1984139,9800,400
228.032652,-89.1983487,9900,400
228.09493,-89.1982825,10000,400
228.157207,-89.1982154,10100,400
228.219483,-89.1981473,10200,400
228.281758,-89.1980782,10300,400
228.344031,-89.1980081,10400,400
228.406304,-89.1979372,10500,400
228.468575,-89.1978652,10600,400
228.530844,-89.1977923,10700,400
228.593111,-89.1977184,10800,400
228.655377,-89.1976436,10900,400
228.71764,-89.1975678,11000,400
228.779901,-89.197491,11100,400
228.84216,-89.1974133,11200,400
228.904416,-89.1973346,11300,400
228.96667,-89.1972549,11400,400
229.028921,-89.1971743,11500,400
229.091169,-89.1970927,11600,400
229.153413,-89.1970102,11700,400
229.215655,-89.1969267,11800,400
229.277893,-89.1968422,11900,400
229.339505,-89.1967577,11999,400
221.882355,-89.2010281,0,500
221.944052,-89.2010554,100,500
222.005762,-89.2010819,200,500
222.067486,-89.2011074,300,500
222.129223,-89.201132,400,500
222.190973,-89.2011557,500,500
222.252736,-89.2011785,600,500
222.314512,-89.2012003,700,500
222.376301,-89.2012212,800,500
222.438102,-89.2012411,900,500
222.499915,-89.2012602,1000,500
222.561741,-89.2012783,1100,500
222.623579,-89.2012955,1200,500
222.685429,-89.2013117,1300,500
222.747291,-89.201327,1400,500
222.809165,-89.2013414,1500,500
222.87105,-89.2013549,1600,500
222.932946,-89.2013674,1700,500
222.994854,-89.201379,1800,500
223.056773,-89.2013896,1900,500
223.118703,-89.2013994,2000,500
223.180644,-89.2014082,2100,500
223.242596,-89.201416,2200,500
223.304558,-89.2014229,2300,500
223.366531,-89.2014289,2400,500
223.428514,-89.201434,2500,500
223.490507,-89.2014381,2600,500
223.55251,-89.2014412,2700,500
223.614523,-89.2014435,2800,500
223.676545,-89.2014448,2900,500
223.738578,-89.2014451,3000,500
223.800619,-89.2014445,3100,500
223.86267,-89.201443,3200,500
223.924731,-89.2014406,3300,500
223.9868,-89.2014372,3400,500
224.048878,-89.2014328,3500,500
224.110965,-89.2014276,3600,500
224.17306,-89.2014213,3700,500
224.235164,-89.2014142,3800,500
224.297276,-89.2014061,3900,500
224.359396,-89.201397,4000,500
224.421524,-89.201387,4100,500
224.48366,-89.2013761,4200,500
224.545804,-89.2013642,4300,500
224.607956,-89.2013514,4400,500
224.670114,-89.2013376,4500,500
224.732281,-89.2013229,4600,500
224.794454,-89.2013073,4700,500
224.856634,-89.2012907,4800,500
224.918821,-89.2012731,4900,500
224.981015,-89.2012546,5000,500
225.043215,-89.2012352,5100,500
225.105422,-89.2012148,5200,500
225.167635,-89.2011935,5300,500
225.229854,-89.2011712,5400,500
225.292079,-89.201148,5500,500
225.35431,-89.2011238,5600,500
225.416547,-89.2010987,5700,500
225.478789,-89.2010726,5800,500
225.541037,-89.2010456,5900,500
225.603289,-89.2010176,6000,500
225.665547,-89.2009887,6100,500
225.72781,-89.2009588,6200,500
225.790078,-89.200928,6300,500
225.85235,-89.2008962,6400,500
225.914627,-89.2008635,6500,500
225.976908,-89.2008298,6600,500
226.039194,-89.2007952,6700,500
226.101483,-89.2007596,6800,500
226.163776,-89.200723,6900,500
226.226074,-89.2006855,7000,500
226.288375,-89.2006471,7100,500
226.350679,-89.2006077,7200,500
226.412987,-89.2005673,7300,500
226.475297,-89.200526,7400,500
226.537611,-89.2004838,7500,500
226.599928,-89.2004406,7600,500
226.662248,-89.2003964,7700,500
226.72457,-89.2003513,7800,500
226.786894,-89.2003052,7900,500
226.849221,-89.2002582,8000,500
226.911551,-89.2002102,8100,500
226.973882,-89.2001612,8200,500
227.036215,-89.2001113,8300,500
227.098549,-89.2000604,8400,500
227.160886,-89.2000086,8500,500
227.223223,-89.1999558,8600,500
227.285562,-89.1999021,8700,500
227.347903,-89.1998474,8800,500
227.410244,-89.1997918,8900,500
227.472586,-89.1997351,9000,500
227.534928,-89.1996776,9100,500
227.597271,-89.199619,9200,500
227.659615,-89.1995596,9300,500
227.721959,-89.1994991,9400,500
227.784303,-89.1994377,9500,500
227.846647,-89.1993753,9600,500
227.90899,-89.199312,9700,500
227.971334,-89.1992477,9800,500
228.033677,-89.1991825,9900,500
228.096019,-89.1991163,10000,500
228.15836,-89.1990491,10100,500
228.220701,-89.198981,10200,500
228.28304,-89.1989119,10300,500
228.345379,-89.1988418,10400,500
228.407716,-89.1987708,10500,500
228.470051,-89.1986988,10600,500
228.532385,-89.1986259,10700,500
228.594716,-89.198552,10800,500
228.657046,-89.1984771,10900,500
228.719374,-89.1984013,11000,500
228.7817,-89.1983245,11100,500
228.844023,-89.1982467,11200,500
228.906343,-89.198168,11300,500
228.968661,-89.1980884,11400,500
229.030976,-89.1980077,11500,500
229.093288,-89.1979261,11600,500
229.155597,-89.1978435,11700,500
229.217903,-89.19776,11800,500
229.280205,-89.1976755,11900,500
229.341881,-89.1975909,11999,500
221.876984,-89.2018586,0,600
221.938745,-89.201886,100,600
222.000519,-89.2019126,200,600
222.062306,-89.2019382,300,600
222.124107,-89.2019629,400,600
222.185921,-89.2019866,500,600
222.247748,-89.2020094,600,600
222.309588,-89.2020313,700,600
222.371441,-89.2020523,800,600
222.433306,-89.2020724,900,600
222.495184,-89.2020915,1000,600
222.557074,-89.2021096,1100,600
222.618976,-89.2021269,1200,600
222.68089,-89.2021432,1300,600
222.742816,-89.2021586,1400,600
222.804754,-89.202173,1500,600
222.866704,-89.2021866,1600,600
222.928664,-89.2021992,1700,600
222.990636,-89.2022108,1800,600
